#TimeHarp 260  Histogram Data			26-Apr-21 05:05:56 PM
#channels per curve
32768
#display curve no.
0	1	2	3	4	5	6	
#memory block no.
0	1	2	3	4	5	6	
#ns/bin
0.1000	0.1000	0.1000	0.1000	0.1000	0.1000	0.1000	
#counts
0	1	0	9	3	47	5	
0	3	1	5	3	47	2	
1	0	0	1	0	11	2	
0	2	0	0	0	6	3	
0	0	0	5	1	1	3	
1	4	0	39	19	369	85	
1	1	0	17	6	129	30	
0	2	0	11	1	47	15	
295	281	2	216	2306	25192	959	
1461	1060	11	327	1408	14570	1072	
1641	925	24	156	721	1907	310	
1718	915	21	113	687	1758	232	
1668	889	26	113	696	1694	171	
1636	781	24	91	671	1609	156	
1629	844	28	110	650	1499	146	
1665	868	32	99	657	1573	134	
1522	833	40	154	703	1583	148	
1522	838	49	86	661	1449	122	
1428	851	49	100	658	1494	141	
1392	797	40	82	611	1470	119	
1419	842	45	90	624	1370	116	
1427	767	50	79	655	1385	107	
1429	793	55	111	638	1388	119	
1411	757	51	78	647	1286	90	
1346	767	72	86	644	1297	97	
1360	787	76	106	571	1359	82	
1292	816	61	101	647	1250	79	
1292	760	71	88	659	1271	77	
1313	794	66	79	633	1285	70	
1345	767	57	73	596	2016	78	
1275	792	64	99	665	1757	58	
1253	779	82	73	600	1232	63	
1250	820	82	81	594	1163	52	
1190	768	93	72	616	1244	63	
1146	748	79	93	599	1169	60	
1126	732	72	75	612	1151	63	
1151	757	79	92	621	1227	45	
1064	733	89	108	596	1156	53	
1079	746	109	82	651	1209	49	
1033	720	102	102	595	1103	47	
1043	686	107	89	536	1172	48	
1040	794	106	96	619	1092	45	
1017	734	105	88	603	1110	50	
1006	670	117	92	584	1098	51	
1002	686	116	92	593	1074	44	
983	676	101	86	576	1089	44	
971	680	113	98	547	1020	34	
918	736	114	105	599	1089	38	
923	664	123	93	596	1090	32	
923	753	103	101	585	1065	39	
923	718	139	92	543	994	36	
853	720	123	97	551	1011	35	
821	700	137	102	585	993	43	
895	645	106	107	551	941	28	
841	672	138	85	559	1002	30	
856	681	110	88	544	975	45	
814	661	111	109	560	994	30	
743	691	134	104	559	1026	26	
797	663	148	101	566	926	30	
749	650	145	95	575	905	34	
735	587	117	104	554	997	25	
719	673	124	101	529	991	17	
711	585	153	113	547	961	18	
740	658	132	114	566	941	24	
703	662	148	121	551	969	27	
647	637	130	97	579	922	29	
670	582	150	97	534	912	26	
679	626	140	111	559	875	14	
686	602	140	92	547	913	17	
638	671	159	110	539	892	17	
626	655	146	105	571	916	25	
620	652	135	122	550	879	20	
604	636	163	127	540	941	23	
599	620	165	121	544	887	28	
598	602	168	103	526	845	15	
539	613	149	98	535	879	16	
572	638	177	103	546	882	16	
562	597	154	119	556	861	20	
540	608	163	106	539	829	15	
592	586	164	111	539	892	24	
509	615	157	117	525	854	20	
537	571	168	108	526	851	17	
559	573	169	112	545	879	23	
530	635	161	119	492	819	16	
498	571	175	124	536	785	20	
517	595	166	109	534	789	21	
501	553	168	119	559	820	21	
437	610	186	126	524	818	19	
488	594	160	123	499	786	15	
469	577	159	124	547	814	23	
490	559	159	113	541	766	17	
445	571	179	109	508	727	15	
453	541	170	125	511	770	12	
441	617	201	132	471	771	21	
432	576	182	143	513	810	14	
406	556	195	122	526	801	15	
398	546	176	136	511	748	13	
362	513	195	109	511	730	16	
359	529	184	148	513	721	9	
396	575	171	128	490	757	11	
363	508	200	111	457	699	17	
378	530	188	123	509	759	15	
370	553	179	127	520	719	12	
350	519	199	146	498	706	22	
348	519	209	129	505	697	14	
376	487	183	125	485	705	15	
359	502	208	137	500	736	19	
339	547	176	135	508	700	16	
326	541	187	126	519	711	16	
365	508	212	128	506	661	11	
320	525	199	141	448	702	14	
313	585	177	140	545	693	14	
325	485	208	119	466	749	12	
325	524	206	141	483	702	16	
304	530	201	112	446	696	13	
314	516	199	148	495	706	21	
300	500	204	124	470	646	19	
322	498	184	149	503	660	11	
294	494	221	147	445	614	8	
282	519	205	134	466	697	12	
278	499	204	141	533	665	13	
271	485	209	130	476	705	19	
267	482	228	125	481	647	17	
269	511	231	156	485	622	14	
278	511	193	147	474	655	14	
259	517	192	129	498	593	7	
252	486	231	133	458	659	11	
252	469	213	135	478	626	18	
247	460	205	165	483	605	3	
245	459	249	155	466	603	8	
230	477	203	136	463	627	7	
254	475	240	130	461	619	15	
228	488	235	144	500	623	13	
221	476	241	157	458	587	10	
219	466	204	142	491	585	15	
209	476	229	137	458	584	13	
201	517	243	150	474	588	15	
222	427	227	140	459	620	9	
193	466	234	185	429	567	10	
225	415	196	137	475	563	20	
202	450	225	149	407	583	7	
197	456	225	145	444	565	15	
191	461	236	148	471	577	14	
187	451	234	150	459	591	10	
176	446	223	144	452	574	8	
191	468	240	163	464	594	13	
154	424	231	138	459	554	11	
170	483	208	137	437	552	8	
193	445	268	141	517	580	9	
177	424	208	149	450	558	5	
189	439	253	155	439	525	7	
167	422	213	116	477	552	10	
141	410	239	151	449	535	10	
155	437	249	146	439	524	10	
165	410	211	145	450	536	9	
139	414	233	150	460	576	17	
150	443	223	154	442	553	12	
140	433	237	126	450	527	10	
149	421	216	169	445	575	9	
135	427	233	163	443	538	12	
160	410	226	155	410	548	10	
146	442	262	159	492	512	6	
130	379	237	148	414	542	9	
132	452	238	163	429	505	11	
132	407	266	153	437	532	10	
148	426	239	174	457	526	15	
133	414	247	143	402	526	8	
108	403	234	164	423	529	11	
114	440	253	141	432	479	7	
118	405	258	157	446	506	11	
124	359	259	140	433	527	12	
143	395	253	167	427	492	15	
119	389	232	151	433	464	9	
128	390	266	166	450	497	14	
117	395	241	140	425	456	8	
107	409	245	164	397	477	9	
108	405	237	171	413	500	11	
103	428	247	156	463	465	8	
105	406	251	136	459	480	10	
87	385	267	170	429	491	8	
97	369	270	157	430	456	9	
96	380	257	172	427	473	5	
92	433	250	164	425	448	11	
110	387	238	198	439	500	7	
111	379	239	169	413	498	9	
87	387	250	158	404	451	10	
94	341	250	166	410	472	16	
83	376	229	168	451	440	10	
90	365	239	171	411	444	4	
88	419	244	165	382	435	10	
81	396	225	194	418	467	8	
71	377	262	166	429	476	3	
86	358	260	193	436	442	10	
85	397	267	154	381	442	10	
86	350	269	184	397	436	6	
85	417	263	156	450	423	11	
66	380	261	168	437	398	7	
79	356	234	162	426	443	6	
80	357	256	170	402	452	4	
69	360	250	160	441	399	5	
74	324	275	195	384	454	6	
72	347	254	168	392	437	13	
76	371	245	174	410	444	12	
68	330	253	161	393	449	7	
58	363	261	154	409	396	7	
71	338	261	178	427	470	8	
74	358	244	162	411	437	6	
61	362	267	152	384	409	10	
71	340	277	159	402	417	10	
79	347	269	175	409	425	5	
60	342	260	172	366	426	7	
68	367	273	183	400	403	8	
66	370	305	176	416	423	14	
68	350	240	179	419	369	10	
69	338	240	167	391	394	7	
61	324	260	177	395	363	11	
52	306	264	184	424	410	11	
59	347	263	171	431	389	13	
48	347	272	138	402	380	7	
58	322	275	186	408	394	8	
42	350	263	167	405	383	10	
53	328	232	193	388	397	3	
54	369	260	168	367	384	11	
44	334	279	170	385	343	7	
46	355	239	166	435	360	6	
40	328	244	168	373	357	5	
58	322	265	174	430	362	10	
47	340	263	177	406	372	12	
42	298	246	187	377	396	8	
44	368	268	165	411	331	7	
54	318	264	192	392	376	8	
63	361	269	165	392	390	7	
51	370	262	189	398	362	8	
49	328	261	183	400	384	5	
53	361	252	176	398	368	10	
50	321	278	177	411	351	5	
41	332	258	165	399	399	7	
38	351	259	178	390	376	10	
45	306	264	173	397	326	10	
39	345	249	201	396	345	8	
37	328	262	191	367	331	7	
30	305	246	186	412	331	6	
38	317	285	191	389	342	8	
45	313	252	198	410	380	11	
33	328	261	185	346	335	10	
49	320	257	163	374	328	7	
39	323	246	193	390	359	8	
49	316	259	171	401	314	9	
46	317	260	191	392	369	11	
39	302	231	169	354	341	5	
33	312	234	185	364	357	6	
37	295	267	184	352	335	9	
34	324	269	165	358	333	9	
31	293	263	181	388	357	5	
45	300	295	172	373	359	8	
30	260	245	190	410	295	7	
36	310	261	199	363	320	5	
27	301	268	181	362	294	6	
